SKU,BRANCH,STOCK
056262563005,001,0.00
056262563005,003,0.00
056262563005,004,0.00
056262563005,006,0.00
056262563005,007,0.00
056262563006,001,0.00
056262563006,003,0.00
056262563006,004,0.00
056262563006,006,1.00
056262563006,007,0.00
056262563007,007,0.00
056262563008,001,0.00
056262563008,003,0.00
056262563008,004,0.00
056262563008,006,0.00
056262563008,007,0.00
056262563009,001,0.00
056262563009,003,0.00
056262563009,004,0.00
056262563009,007,0.00
056262563010,003,0.00
056262563010,004,0.00
056262563010,007,0.00
056262563011,003,0.00
056262563011,004,0.00
056262563011,006,0.00
056262563S2003,001,0.00
056262563S2003,003,0.00
056262563S2003,004,0.00
056262563S2003,006,0.00
056262563S2003,007,0.00
056262563S2004,001,0.00
056262563S2004,003,0.00
056262563S2004,004,0.00
056262563S2004,006,0.00
